Reference, Value, Footprint, Datasheet
"SW1","ENCODER_W/PB","KiCad:SW_PEC11_QUAD_ENCODER_TH_PB",""
"SW2","ENCODER_W/PB","KiCad:SW_PEC11_QUAD_ENCODER_TH_PB",""
"D1","Led_Small","KiCad:LED_3MM_TH",""
"D2","Led_Small","KiCad:LED_3MM_TH",""
"SW4","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"SW7","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"SW10","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"SW11","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"SW5","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"SW9","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"SW12","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"SW3","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"SW6","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"SW8","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"R1","4.70kΩ","KiCad:P0805",""
"R2","4.70kΩ","KiCad:P0805",""
"R3","4.70kΩ","KiCad:P0805",""
"R4","4.70kΩ","KiCad:P0805",""
"R7","4.70kΩ","KiCad:P0805",""
"R8","4.70kΩ","KiCad:P0805",""
"R9","4.70kΩ","KiCad:P0805",""
"R10","4.70kΩ","KiCad:P0805",""
"R11","4.70kΩ","KiCad:P0805",""
"R12","4.70kΩ","KiCad:P0805",""
"R13","4.70kΩ","KiCad:P0805",""
"R14","4.70kΩ","KiCad:P0805",""
"R15","4.70kΩ","KiCad:P0805",""
"R16","4.70kΩ","KiCad:P0805",""
"C4","0.010uF","KiCad:P0805",""
"C5","0.010uF","KiCad:P0805",""
"C6","0.010uF","KiCad:P0805",""
"C7","0.010uF","KiCad:P0805",""
"C8","0.010uF","KiCad:P0805",""
"C9","0.010uF","KiCad:P0805",""
"C10","0.010uF","KiCad:P0805",""
"C11","0.010uF","KiCad:P0805",""
"C12","0.010uF","KiCad:P0805",""
"C13","0.010uF","KiCad:P0805",""
"R18","2.20kΩ","KiCad:P0805",""
"R19","2.20kΩ","KiCad:P0805",""
"R21","2.20kΩ","KiCad:P0805",""
"R22","2.20kΩ","KiCad:P0805",""
"R23","2.20kΩ","KiCad:P0805",""
"R24","2.20kΩ","KiCad:P0805",""
"R25","2.20kΩ","KiCad:P0805",""
"R26","2.20kΩ","KiCad:P0805",""
"R27","2.20kΩ","KiCad:P0805",""
"R28","2.20kΩ","KiCad:P0805",""
"R29","2.20kΩ","KiCad:P0805",""
"R30","2.20kΩ","KiCad:P0805",""
"R32","2.20kΩ","KiCad:P0805",""
"R33","2.20kΩ","KiCad:P0805",""
"R34","2.20kΩ","KiCad:P0805",""
"R35","2.20kΩ","KiCad:P0805",""
"C15","0.010uF","KiCad:P0805",""
"C16","0.010uF","KiCad:P0805",""
"C17","0.010uF","KiCad:P0805",""
"C18","0.010uF","KiCad:P0805",""
"U1","74HCT541","IPC7351-Nominal:SOIC127P1032X265-20",""
"U2","74HCT541","IPC7351-Nominal:SOIC127P1032X265-20",""
"U3","MCP23017","IPC7351-Nominal:SOIC127P1034X267-28",""
"P1","Header_2x20","KiCad:Header_2x20_Shrouded_100mil",""
"U5","LTC6992","KiCad:SOT23-6",""
"Q1","CMPDM302PH","KiCad:SOT23-3",""
"R5","10.0kΩ","KiCad:P0805",""
"R6","47.0kΩ","KiCad:P0805",""
"R17","12.5kΩ","KiCad:P0805",""
"R20","100.0kΩ","KiCad:P0805",""
"R36","182.0kΩ","KiCad:P0805",""
"R31","976.0kΩ","KiCad:P0805",""
"P2","Header_2x1","KiCad:Header_2x1_Shrouded_100mil",""
"MOD1","TFT_320X240_2.4_SPI","KiCad:TFT_320x260_2.8_SPI",""
"SW13","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"SW14","PUSHBUTTON_SPST_6MM_TH_GND","KiCad:SWITCH_PB_6MM_TH_GND",""
"R37","4.70kΩ","KiCad:P0805",""
"R39","4.70kΩ","KiCad:P0805",""
"C3","0.010uF","KiCad:P0805",""
"C14","0.010uF","KiCad:P0805",""
"R38","2.20kΩ","KiCad:P0805",""
"R40","2.20kΩ","KiCad:P0805",""
"C2","0.010uF","KiCad:P0805",""
"C1","0.010uF","KiCad:P0805",""
"U4","74HCT541","IPC7351-Nominal:SOIC127P1032X265-20",""
"R41","470.0Ω","KiCad:P0805",""
"R42","470.0Ω","KiCad:P0805",""
"U6","MCP1826S-3302","KiCad:TO263-3",""
"C20","47uF","KiCad:CAPACITOR_TANTALUM_C",""
"C19","47uF","KiCad:CAPACITOR_TANTALUM_C",""
"C21","0.10uF","KiCad:P0603",""
"C22","0.10uF","KiCad:P0603",""
"C23","0.10uF","KiCad:P0603",""
"C24","0.10uF","KiCad:P0603",""
